chapter_number,cover_page,in_depth_summary,error
58,"Buggy's Crew Adventure Chronicles, Vol. 17: ""The Twelve-Hour Bout"".
By nightfall, Mohji and Cabaji are still fighting, still no closer to deciding the captaincy. The other Buggy Pirates have long fallen asleep, Richie in particular enjoying his own dreams of being captain.","Sanji tried to divide his small portion of food wisely, but after 25 days he had only one piece of moldy bread left. He had only seen one ship that did not even see him pass. After 70 days, weak and hopeless, he decided to reach Zeff to steal his food.

Upon arriving, he found Zeff's bag was still almost full. He became enraged and approached Zeff with a knife, declaring he was taking the food and did not care about him. However, when Sanji opened the bag, he found it had only been filled with treasures. Sanji realized that Zeff had given him all the food and that he had only survived by eating his own leg. When asked why he acted such foolishly while they hate each other, the pirate revealed that, he too, believed in the All Blue and that he was trying to find it in the Grand Line. However, now that he no longer has his crew, he could not realize this dream anymore. He decided if they were rescued, he would retire from piracy and start a restaurant.

The miracle occurred, after 85 days, the ship Sanji had seen came back and saved them.

Back in the present, Sanji's behavior makes more sense: in the memory of the old man that saved his life, he will not allow anyone to kill him or steal his last dream.",
59,"Buggy's Crew Adventure Chronicles, Vol. 18: ""Explosion!! Sleepwalking Richie"".
Still dreaming of adventures as captain of his own crew, a sleepwalking Richie unknowingly knocks out Mohji and Cabaji both.","Sanji continues to let Pearl assault him as he has decided to die rather than let the Baratie be taken by the Krieg Pirates. Luffy becomes angry as he does not understand how Sanji's death would repay Zeff's sacrifice. To put an end to Sanji's suicide, he destroys the Baratie since it is the target of Don Krieg. While Sanji and Luffy fighting about the best solution to save Zeff, Pearl decides to attack them. However, he is stopped by Gin, who defeats him with one blow. He proclaims he will take care of Sanji's death, personally.",
60,"Buggy's Crew Adventure Chronicles, Vol. 19: ""Formation!! The Richie Pirate Crew"".
At daybreak, while Mohji and Cabaji lie beaten, a triumphant (if confused) Richie is declared the new captain, complete with his own Jolly Roger.","Gin promises he will honor Sanji by killing him by his own hands. Sanji has little reaction to Gin's threats. This also goes for Luffy, who does not see himself loosing in front of such a crew.

For the Krieg Pirates, who see themselves as the most powerful of East Blue, this is unforgivable and they rush the two kids. However, they are immediately stopped by their captain; while he is here they have not to be worry of who is the stronger. However, when Krieg asks Luffy the question of who is stronger, Luffy naturally responds that he is the strongest one here.

In order to make him realize the difference between the two of them, Don Krieg threatens Luffy with one of his strongest weapons - the poison gas MH5. Krieg fires the bomb at the Baratie. When Luffy attempts to bounce the bomb back, it reveals to actually be a shuriken bomb and not a poison bomb. Hurt by the sharp stakes, Luffy admits he was tricked, but he continues to assert that he is the strongest. As his anger rises, Don Krieg asks Gin to take care of Sanji. He tells him he will deal with Luffy personally.",
61,"Color Spread: The Straw Hat Pirates help some giant squids harvest daikon—with varying levels of seriousness. While Usopp and Luffy fool around with a wheelbarrow, Nami falls asleep reading a book.","Sanji and Gin fight but their attacks cause little damage. They find their abilities are equally matched. The Krieg Pirates estimate that Gin will lose, but Don Krieg says Gin's fighting abilities will no give out. He explains that Gin is a calm and collected ""Demon"". He tells them that Gin can kill his opponents without pardon and many people have called him ""The Demon"". That's why he had placed him as the battle commander in his armada. Due to his injuries from fighting with Pearl, Sanji is cornered by Gin. Patty and the other Baratie cooks become worried.

Meanwhile, Luffy attacks Don Krieg, but Don Krieg releases his armor and plans to kill Luffy. He shoots Luffy with bombs and spears. That spears impale Luffy's foot, and he almost falls into the ocean. Luffy asks if Don Krieg is not serious to fight him directly. Krieg answers the most important skill in fighting is to kill the opponent. Krieg jeers that Luffy is a monkey because he attacks without strategy.

Don Krieg's Pirates scream that Sanji's bone is broken. Gin roughs up Sanji ten times. Gin attacks Sanji and brings him close to his death. Krieg's Pirates cheer at Gin's win. When Gin prepares to execute Sanji, he remembers how Sanji gave him food. Gin begins crying. He admits he cannot kill the only man who treated him kindly in his entire life.",
62,"Richie Crew's Adventure Chronicles, Vol. 1: ""The Island's Indigenous Kumate Tribe"".
The newly-minted Richie Pirates run into a pack of heavily-armed natives.","Don Krieg is disappointed with Gin because he disobeys his order to kill Sanji. Before that, Gin was the person he trusted the most. Krieg sees excess in Gin's personality that will win in the battlefield. Gin says he will always respect and admire Krieg. However, he cannot kill Sanji and requests to let the Baratie go free. Krieg becomes angered at Gin's gall. The Krieg Pirates remain confused about what happened to Gin.

Krieg prepares to shoot his MH5 bomb. All of Krieg's crew pull out their masks to survive. Krieg demotes Gin and asks him to throw away his mask. The Don Krieg Pirates cannot believe that Krieg would kill Gin. Gin was very loyal, such as when the crew hazed from Fullbody, Gin went alone to the ships of the Marine and masqueraded as captain. Gin always sacrificed himself to save Krieg and he did anything to win, that's why people called him ""Demon"".

Meanwhile, Luffy attempts to stop Krieg, but fails. Luffy takes back his step and announces he will save Gin from Krieg. But Gin still believes in Krieg as his commander and throws away his mask as he was commanded. Krieg shoots the MH5. The Baratie cooks escape by diving underwater and Krieg's crew uses their masks to protect themselves from the poison gas.

Thinking quick, Luffy takes two masks away from some of Krieg's pirates. He gives the masks to Sanji and Gin. When Luffy wants to take a mask for himself, no masks remain. Suddenly, he spots a mask as the MH5 activates and places it on his face. After 5 minutes, the gas dissipates and Gin is revealed to have not worn his mask. Luffy realizes that Gin selflessly gave him his mask.",
63,"Richie Crew's Adventure Chronicles, Conclusion: ""The Pulverization of the Richie Crew"".
Richie ""leads"" his new crew into a quick, brutal defeat at the hands of the Kumate Tribe.","After Don Krieg shoots the MH5 gas bomb, he further angers Luffy and Sanji by claiming that Gin is garbage and it's proper to die by his own hands as his commander. Krieg's crew cannot believe what is happening to Gin at Krieg's hands. Patty and Carne emerge from the restaurant, and Sanji immediately calls to them for any antidote the Baratie may have. They show a little hesitance to help an enemy, but Sanji urges them to comply. Zeff lets them know that they need to put a gas mask on him right away, to use whatever antitoxin might be left in it. Then take him up to the upper deck for clearer air, as this could be the only way to save him. Patty and Carne are amazed by this quickly-placed wisdom, until Sanji snaps them out of their stupor, and they rush to help.

Luffy becomes angry with Krieg and tells Gin that he can't die and has to survive to spite his terrible captain. Krieg estimates that Gin has about an hour left to live. Luffy promises to beat Krieg no matter what, but Gin is still certain that he cannot beat Krieg. He gets carried off, and Luffy turns to confront the pirate captain, but he is held back by Sanji who doesn't want him to get killed. But Luffy brushes the hand away and firmly states, ""I won't die,"" then rushes headlong toward Krieg, fearing no bullets or stakes. Sanji is forced to accept Luffy's decision, and Krieg smirks at Luffy's stubbornness - what he perceives to be reckless foolishness.

Don Krieg mocks his repeated attempts as he tosses bombs at the bridge in front of him, welcoming Luffy to his grave. The explosion again creates a wave that obscures the bridge in sheets of water, and Krieg fires another round of stakes. Sanji hears the stakes come in contact with Luffy, and Krieg notes how his enemy would rather die than retreat with mild intrigue. Defying all norms, Luffy crosses through the mist, now sporting a stake in his side and his left shoulder, but otherwise undeterred. He uses Krieg's tactic against him when he flips forward to crash the surface of the water with an outstretched leg. He stretches his arm behind him with the intent of punching him through the screen of water. Krieg sees that he is determined to land a hit no matter the cost, so he thinks fast and implements his porcupine cape, a cloth studded with spikes large enough to cover his whole body. He thinks himself invulnerable, but Luffy delivers a solid blow to his jaw, despite his fist meeting the field of spikes. For the first time in the fight, Krieg has been sent sprawling to the ground.

Luffy asks Krieg then, if this is his grave or Krieg's, as he pulls the stake from his shoulder. He proclaims that he doesn't have sneaky weapons like Krieg, but he's still a viable fighter who won't die here. Sanji watches on and claims that Luffy is crazy, but Zeff tells him to watch Luffy fight. While Zeff talks to Sanji, the situation with Gin unfolds, as Patty and Carne tend to him on the top deck of the restaurant.  They try to make sure he breathes, and Patty suggests making some food for him, to which Carne replies that he has already been poisoned once today. They start arguing, but get interrupted upon hearing Gin start to hack and cough. Zeff continues relating to Sanji that it's not often that a person comes along who will not quit fighting once he has his eyes set on a particular goal. Regardless of if Luffy wins or loses this fight, that's the kind of man Zeff respects, and this gets Sanji thinking.

The Krieg pirates are getting nervous, and the chefs start cheering Luffy on, having been won over by his spirit. Krieg gets up off the ground and punches at Luffy in a rage, catching him on the shoulder guard, and smirking as he fires the built-in cannon. But he pays for this miscalculation, when Luffy escapes before the blast and hooks his foot around Krieg's neck, bringing him down a second time.",
64,"Color Cover: Sanji cooks away as head chef of the Baratie, while kitchen assistant Luffy feeds his alligator coworker.","Don Krieg is knocked down once again by Luffy. This creates severe anguish amongst his crew members, as Don Krieg has always gone out of a battle unscathed. However, when one crewmate states that he believes Luffy to actually be stronger than Krieg, he arises, telling them to shut up before combining his shoulder plates together to form his ""Great Battle Spear"", which he slams into the ground next to Luffy, creating an explosion.

The crew members are finally rejoicing as they see Krieg's secret weapon, as he discards his cape and comments that it's way stronger than the stakes he fired at Luffy earlier. While Luffy wonders how the spear made an explosion, Krieg swings it again, sending Luffy flying over the ocean, but luckily, he stretches towards a platform floating. However, due to the fact that he has lost lots of blood thanks to Krieg, and that the platform he's standing on is unstable, he soon falls to his knees.

Now, the crew members are talking amongst themselves about Krieg's weapon, which apparently creates explosions depending on how powerful the blow is. Krieg continues his assault on Luffy, who is dodging for his life. The crew members are now discussing Krieg's massive strength, as the lance weighs approximately 1 ton, yet Krieg can swing it around with only one arm.

Finally, Luffy loses balance and jumps over Krieg's blow, but this makes him wide open for an attack. However, just in the nick of time, Luffy grabs the lance before it can hit him. Enraged, Krieg slams the lance into the ground, forcing Luffy to let go. Krieg proceeds to ram his lance into Luffy, who grabs the tip, but Krieg merely whips it around, creating an explosion which sends Luffy flying. As Krieg swings again, Luffy is hit head-on. Krieg then proceeds to tell that him that he is stronger than Luffy.

However, Luffy answers by slamming his foot into the ground, breaking the spear's tip, much to Krieg's confusion and horror. Luffy tells him that he hit the tip 5 times, and that with the wide area they have landed in, Luffy can defeat him.",
65,"Buggy's Crew Adventure Chronicles, Vol. 20: ""I See It!! My Pirate Ship!!!""
Buggy and his new ally spot a familiar ship docked beside a certain island.","Luffy is able to balance Don Krieg's power. He destroys the most powerful weapon of Krieg. Everyone is surprised and cannot believe that Luffy is still able to stand on his feet. But Krieg has a lot of self-confidence and plans to defeat Luffy with it. He believes that his weapon is the most powerful weapon in the world. His energy was still powering up, and meanwhile Luffy's energy was not.

Sanji still does not believe that Luffy can beat Krieg due to his weakened condition. But Zeff says Luffy has one weapon that Krieg does not have, no fear of death. He tells Sanji on the battlefield they must have the principle to not be afraid of death. If they are afraid, they will lose in just one second. That principle was in Luffy, Zeff added.

Krieg attacks Luffy again, and wants to execute him because he is brave to challenge ""The Most Powerful Captain"" in East Blue. But Luffy dodges it and hangs onto a mast. Then Krieg slices the mast. Unfortunately, his attacks do not hurt Luffy. Luffy throws the mast at him. But, Krieg destroys it by shooting fire at it. Luffy replies with ""Gomu Gomu No Gatling"". But Krieg's armor protects him. Luffy continues using his ""Gomu Gomu No Pistol"" and sends Krieg flying, but the armor still does not shatter. Kriegs plans to throw bombs from top of the mast. Luffy tries to stop it and run faster. Finally, Luffy destroys the armor by using ""Gomu Gomu No Bazooka"" and cracks it into pieces.",
66,"Buggy's Crew Adventure Chronicles, Vol. 21: ""Reunion—That's Bananas!""
Venturing onto Kumate Island, Buggy and his new ally find Buggy's grave—and Mohji and Cabaji, still beaten senseless, lying right beside it.
(The original title is a common Japanese pun, playing ""banana"" (バナナ?) off the (stereo)typical exclamation for ""That's impossible"" (そんなバカな, Son'na bakana?).)","Luffy finally destroys Don Krieg's armor. Everyone is shocked, especially the Krieg Pirates who watched their captain lose. Even though Krieg still lost his spirit, he attacks Luffy in the air by shooting an iron net at him. Luffy becomes ensnared in midair above the ocean. Luffy realizes he will sink due to his Devil Fruit weakness. Krieg smirks in joy realizing his last second revenge may become realizes. However, Luffy reaches out with his free hands and feet to attack Krieg. For anticipating that, Krieg asks his crew to shoot at Luffy.

In another place, Sanji is confused why Luffy does not retreat. Zeff says he cannot look down after this battle. Sanji then attacks the Krieg's pirates who were aiming arrows at Luffy. Luffy is able to successfully use his last technique ""Gomu Gomu no Tsuchi"". It connects with Krieg's head and Krieg is knocked unconscious. However, Luffy falls to his certain death in the ocean as he cannot swim.

Zeff explains to Sanji why he won. He explains Luffy has the courage, ""harpoon"", and he is not afraid to die. Then Zeff suggests that Sanji should save him as he can't swim, Sanji can hardly believe the old man waited this long to inform him of Luffy's inability to swim and quickly dives in after him.

Gin cannot believe that his captain lost. Unfortunately, Krieg can still can stand up and acts weirdly. At the same time, Gin goes to the deck of Baratie to end the battle. He punches Krieg in the stomach to knock him out. He decides to retreat with the Don Krieg Pirates and start anew.",
67,,,"('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))"
68,"Buggy's Crew Adventure Chronicles, Vol. 23: ""Suspicious Parts"".
While the Kumate Tribe continues stewing Richie and the other pirates, a few curious tribesmen untie the last ""member"" of the crew: Buggy's severed torso and limbs.","Luffy would like very much that Sanji becomes a member of his crew, but he cannot do it unless Sanji himself agrees which he never has so far. Suddenly, a strange animal arrives at the Baratie. It is none other than Yosaku, half eaten by a shark. He has come back to ask for Luffy's help. He has located Nami but can do nothing without Luffy's strength.

While he is ok to depart, Sanji, to the surprise of every one, decides to go with them and becomes the Straw Hat Chef. He changed his mind when he heard that everybody wanted him to depart. As to comfort his decision, Zeff tells him that he regrets to have let him live.

A nostalgic Zeff is seen remembering his restaurant history. When it is time for departure, everybody becomes serious. Patty and Carne even try an ultimate revenge attack on Sanji but it proves useless as he easily beats the two back. Then, from his balcony, Zeff reveals his true feelings by wishing Sanji good luck. These are the words that break the hypocritical atmosphere. In turn, Sanji shows his gratitude to the man who gave him everything and bows in respect. They depart in the middle of the joy and the tears and bid farewell to the Baratie!",
69,"Color Cover: In the dead of night, Santa Usopp forges ahead with his Christmas run, pulling the sleigh himself when his assistant Luffy and faithful reindeer begin falling asleep.","Luffy looks forward to entering the Grand Line with newest Straw Hat Pirate, Sanji. However, Yosaku warns them about the dangers of this sea. In particular he warns them of the presence of the Seven Warlords of the Sea, of which Dracule Mihawk and a fish-man pirate named Jinbe belong. He explains that years ago Jinbe had a relation with his strongest lieutenant in the East Blue, Arlong. He suspects that Nami will be near Arlong. Sanji has his doubts as he always trusts beautiful woman and had recently become smitten with Nami. Yosaku mentions that due to Nami's suspicious behavior being connected to their copy of Arlong's wanted poster, he and Johnny suspected earlier that there had to be a connection between Nami and Arlong.

Meanwhile in Arlong Park, base of Arlong's Fish-Men pirates, Arlong makes a deal with a Marine, Nezumi. He presses Nezumi to relax and celebrate in the common language that they understand, money. However, Nezumi tells him he must press on before anyone recognizes his ship in port. Suddenly, Nami is introduced as one of the Arlong pirate officers and the only human Arlong can trust.",
70,"Color Spread: The Straw Hat Pirates as samurai, all dressed in Kabukimono-esque clothing and all wielding at least one sword. Luffy in particular is perched on an upside-down wok, holding an oil-paper parasol while unsheathing his red-lacquered sword with his teeth.","Zoro, Usopp and Johnny arrive in front of Arlong Park. In order to prevent Zoro from foolishly attacking the fish-men, he's tied up by Johnny and Usopp while they search for the Going Merry. They soon found it anchored near a local village. Usopp, who acted bravely once away from Arlong Park, becomes a coward again once he notices three Fish-Men next to the boat. He and Johnny flee into the sea once they have been spotted, leaving Zoro alone and powerless in front of the Fish-Men.

When Usopp and Johnny pull themselves out of the sea, they notice that the village has been completely devastated and postulate it was destroyed by the Fish-Men. They are impressed by the power of these creatures. They find one of the Fish-Men has returned to the village, suspicious of Zoro being alone. While Johnny is able to hide himself, Usopp starts running until he bumps into a kid, Chabo, and a woman, Nojiko. When the Fish-Man is about to capture them, Usopp decides to act bravely for once, and tries to defend the two villagers, but is knocked out by Nojiko.

When he wakes up, the three of them are in Nojiko's house, in an orange farm. Nojiko tells them that nobody fights the fish-men because it's suicide. Chabo, a boy from Gosa Village, whose father has been killed, understands this, and returns to his mother rather than seeking revenge.

Usopp understands that Nojiko's intentions are not bad, and tells her that he is looking for Nami. Nojiko then tells Usopp that Nami and her are adopted sisters, and that Nami is a member of Arlong Pirates.",
71,"Buggy's Crew Adventure Chronicles, Vol. 24: ""Rampaging Parts!!""
Still severed, but no longer mindless, Buggy's ""remaining"" body starts attacking the Kumate Tribe. Luckily, the chaos jars the rest of his crew free of the cannibals' cooking pot.","When Nojiko tells Usopp that the house he is currently in is the house where Nami lived as a child as well as informing him that they are adopted sisters and telling him that their ""mother"" is dead. Usopp says that Nami betrayed her village since she joined Arlong Pirates, who control her hometown, Cocoyasi Village. Nojiko questions Usopp's business with Nami. Usopp replies that he has some things to think about due to all the info he has received. Additionally, he says that all she wanted from the crew was for the treasure and asks why she saved his village and looked happy with them. Nojiko questions Nami being happy and then restates that he shouldn't start anything with the Arlong Pirates since it will lead to death. Usopp replies that he will just leave since he has found the ship. After Nojiko points out the Going Merry, Usopp realizes that they landed near Cocoyasi Village and Usopp begins to panic. Nojiko asks what's wrong and Usopp replies that he remembered that one of his crewmates was captured by the fish-men and is in a critical condition.

Indeed, Zoro has been taken to Arlong Park where he is questioned by Arlong. Zoro insults Arlong by calling him a half-fish mutant and restates that he is looking for a girl. Arlong says he will forgive Zoro once for the insult and says fish-men are superior to humans. Shortly after, Nami appears much to Zoro's surprise seeing her aligned with Arlong. Arlong says she is an exception to the human race and informs him that she is the Arlong Pirates' cartographer. Zoro questions why Nami would side with Arlong. Arlong questions if they know each other. Nami replies that he was just another victim. Then Zoro asks Nami if this is her ""true self"" and she answers, ""yes"" and that she had been aligned with Arlong all along. After Nami's statement, Arlong laughs and calls her a ""cold-blooded witch"" who only wants money. Nami hides her scowl upon hearing Arlong make such a statement. Zoro notices this and jumps into the pool, shocking everyone. Nami dive into the water and saves Zoro. After the rescue, Nami asks what he was doing to which Zoro remarks that he should be asking that question to her and says she shouldn't be acting tough. Nami replies that she does not want him involved in this anymore. Afterwards, Nami tells the fish-man to lock Zoro up and she will kill him later. Shortly after, a fish-man approaches Arlong saying that a longed nose human got away. Arlong says that the human is probably in Cocoyasi Village and says he has business to attend to their anyway.

In Cocoyasi Village, the villagers hear of Arlong's coming and wonder what business he has since he already collected the tribute. Genzo answers by saying that Arlong found his weapons. Arlong arrives and begins questioning Genzo on the possession of weapons. Genzo answers that it is a hobby to collect weapons. Arlong says he cannot possess any weapons since all they do is bring violence. A frightened Usopp says he is not human. Nojiko replies that he is a fish-man, and says that Nami must be at Arlong Park since she is not with Arlong. Arlong threatens Genzo by stating back when he destroyed Gosa Village due to no one paying tributes. Nojiko explains to Usopp that a tribute is the money they pay every month in order for them live under Arlong's protection. If one person does not pay in the village, the entire village is destroyed. Before leaving, Arlong tells the town to work hard for money since tribute time is approaching.

Back at Arlong Park, Nami rushes Zoro to escape before Arlong's return.",
72,"Buggy's Crew Adventure Chronicles, Vol. 25: ""Shadows On the Horizon"".
As the Kumate Tribe lies beaten, their would-be victims rejoice at the four figures standing atop a nearby hill.","Genzo is found to possess several weapons - which are forbidden by Arlong's rules. He announces to the crowd that weapons may be seen as the start of rebellion. As a result, Genzo shall be made an example of the inferiority of humans against fish-men and be executed in front of all the villagers. While the villagers of Cocoyasi Village attempt to save the life of their friend, Genzo begs them to stay quiet as it would mean that what they have endured for the past 8 years would have been for nothing.

When Arlong is about to deliver the final blow to Genzo, he is struck by an explosion. Usopp laughs from the top of the buildings and delivers brave words of having 8,000 hardened killers ready to strike against him. Arlong go berserk, and as an answer to Usopp's insult, he destroys the house on which he is staying. Afraid that their leader will destroy all the village which they need to get money, the Fish-Men restrain him and promise to catch Usopp and take him back to Arlong Park.

After Arlong's departure, and while the Fish-Men are trying to capture the running Usopp, Nami appears in the village. Everyone ignores her besides her sister. She has come to deposit flowers on a grave. She tells Nojiko that she only needs 7,000,000 more until she can buy the village.

Meanwhile, in Arlong Park, Zoro who has been freed by Nami, has defeated every Fish-Man at the park and awaits Arlong's return.",
73,"Buggy's Crew Adventure Chronicles, Vol. 26: ""Sorry for Making You Wait, Boys!!!""
Buggy make his grand reappearance, body restored at last; by his side are his new partner, Mohji, and Cabaji.","Hatchan finishes preparing Momoo's meal and makes a trumpet sound to lure Momoo to his dinner. The sound alerts Zoro who finds Hatchan sitting on the shore. Hatchan asks who he is, and Zoro responds that he is a guest. Hatchan responds that Arlong is away at Cocoyasi village and offers to transport him.

Meanwhile Luffy, Sanji, and Yosaku are confronted by the large sea creature, Momoo. Yosaku suspects he is hungry and suggests to give Momoo. Luffy responds by punching Momoo. Sanji then berates him for hurting the beast just because it's hungry and offers Momoo food. However, Sanji suddenly kicks Momoo for trying to bite his hand. He then knocks him out when he tries to retaliate. The group then proceed to eat their lunch.

Meanwhile, Zoro arrives at Cocoyasi village. Arlong returns to Arlong Park to find his crewmates have been injured. When asks who did this, he finds out it was Zoro. At first angered, he pacifies himself after learning that Usopp has been captured. Some of his crew hypothesize that Nami was the one that let him escape, saying that betrayal is her specialty. To which Nami responds that she would never betray the crew. She reminds the crew of her promise to buy back the village fair and square, and Arlong believes her. He says they need to take care of Usopp and Zoro, while Zoro finds out Usopp was captured and heads back toward Arlong park, as wells as Luffy and company.",
74,"Buggy's Crew Adventure Chronicles, Vol. 27: ""Parade!!""
Buggy, Alvida, Mohji and Cabaji make short work of the Kumate Tribe as the rest of the crew cheers them on.","Realizing it has been Zoro in their grasp all along, Arlong explains that since he has the highest bounty in all of East Blue, it's natural that a bounty hunter would want to take him out. He wonders where Zoro could be, to which Usopp responds that he doesn't know and asks to be let go. Though his lie doesn't fool anyone, Arlong then gets the idea to kill Usopp to get Zoro to show up, but Usopp tells them that this won't work and asks Nami for help. Causing more doubt among the crew about Nami's loyalty, and Usopp berates her for betraying Luffy saying that even now he still trusts her, to which Nami calls him an idiot.

Hatchan then returns, and is surprised that Arlong is back and that his comrades are hurt, and is even more surprised to learn that it was Zoro who did it, telling the crew that he just gave him a ride to Cocoyasi Village because he was looking for Arlong and he thought Zoro was Arlong's guest. Which makes Arlong happy that Zoro is looking for him, Hatchan then asks who Usopp is. Nami, in order to prove her allegiance, attacks Usopp. She announces he will kill him and appears to stab him from Arlong's point of view. Johnny watches unseen from the bushes. Nami then pushes Usopp into the pool which solidifies the crew's trust of her, and she reminds them again of her goal - to purchase back her hometown village.

Luffy, Sanji, Yosaku, and Zoro all arrive at Arlong Park and are pulled ashore by Momoo.",
75,"Buggy's Crew Adventure Chronicles, Conclusion: ""Oh Captain, Our Captain!!""
Restored to his former glory, Buggy stands tall with his crew and his new ally, his premature grave crushed underfoot, and his Jolly Roger flying high.","The sea monster, Momoo, pulls Sanji and Luffy's boat at full speed onto the shore. Luffy and Sanji are then sent flying into the sky. Momoo crashes into the shore head-first and sinks into the sea in pain. At the same time, Zoro is urgently trying to find Usopp. He hears a loud noise but pays no attention to it until he is caught in Sanji and Luffy's unconventional landing. Zoro explains that they have to hurry in order to save Usopp, who has been captured by Arlong, before he is killed. Zoro is about to run off when Johnny appears and informs him that Usopp has already been killed by Nami. Everybody is in shock after hearing this.

Meanwhile, the survivors of Gosa Village observe a Marine ship approaching the shore. It is led by Commodore Pudding Pudding with the intent of liberating the inhabitants of the island. The Commodore tells his men that their goal will be to rescue the survivors of the island as well as take out the pirates inhabiting it, as their sense of justice prevents them from overlooking a pirate base.

Arlong questions the existence of the 77th Branch of the Marines as he has never heard of them before. He concludes that they must be new, so he tells his lieutenants to either buy them off for 2,000,000 or to dispose of them if they turn down the bribe. Just as he finishes talking, his crew warns him of an impending cannonball coming towards him. Arlong then catches the cannonball with his open mouth and crushes it with his monstrous jaw strength. He spits out the remains and tells Kuroobi to cancel the negotiations. Arlong's top officers, Hatchan, Chew, and Kuroobi, offer to get rid of the Marines. Moments later, Chew jumps onto the deck of the Marine ship and attacks everyone on board. At the same time, Kuroobi tears off the ship's rudder, and Hatchan pushes it into the reef. The combination results in the creation of a massive whirlpool that sucks in the ship, presumably killing everyone on board.

As the officers return, Arlong apologizes for making the three go through all the trouble. They reply that it was nothing due to their fish-man strength and the maps Nami has drawn while claiming themselves to be ""invincible."" Chew then asks Arlong whether he would let Nami go once she pays off her 100 million belly debt since she is an invaluable member of the Arlong empire. Arlong replies that he would rather die before he breaks a promise regarding money. Back to Luffy's side, Luffy yells at Johnny while grabbing him by the collar, telling him that what he is saying is nonsense and that Nami would never hurt one of her crewmates. Just then, Nami appears and asks Luffy who he is calling a crewmate.",
76,"Animal Theater: Luffy climbs a tree and mimics a pair of owls as Zoro and Sanji look on. Down below, Usopp stares off into the distance.","When Luffy refers to Nami as his crewmate, she tells him that he is no more than a nuisance. She says that she only stayed with them because of their money. Zoro argues with Sanji that he is making things more complicated with his romantic advances toward her. Sanji responds by saying that love is like a hurricane.

Johnny interrupts their quibbling when he yells at Nami, calling her a witch. He says that all she cares about is getting all the money hidden in Cocoyasi Village, where she is willing to join the Arlong Pirates and will go so far as to kill people in order to do so. He follows up by calling her a witch again and saying that she is cold-blooded. He swears that he saw her killing Usopp. Nami is unfazed, and asks Johnny what he is going to do about it. Johnny is taken aback by surprise.

She also tells them that if they want to live, they better stay out of Arlong's business because he is infuriated by Zoro's stunt. Nami says that Luffy and his crew may be monsters, but they are no match for the real monster. Zoro responds by saying that he couldn't care less and asking where Usopp is. Nami tells him that he is at the bottom of the ocean. Irritated, Zoro tries to attack Nami, but Sanji stops him. The two of them begin to argue. Zoro tells him to not interfere when he has no idea what is going on. Sanji ignores him and tells him that he is just irritated after his loss with Mihawk. Zoro gets mad and points his sword toward Sanji's neck. Sanji taunts him and tells him to just try. Yosaku tells the two of them to stop because they are in a serious situation right now.

Nami tells them to leave and go fight elsewhere, and she couldn't care less, bidding them farewell. Luffy then immediately falls asleep on the spot, announcing that he is sleepy and could not care less about what is happening on the island. Nami then yells at him, saying that he can die for all she cares. Afterwards, Johnny and Yosaku decide to part ways with Luffy and the others because they are afraid of getting hunted down and killed by Arlong. They tell everyone that they will meet again one day.

Meanwhile, Usopp, who is revealed to be alive, wanders through Cocoyasi Village. He wonders and asks himself why Nami would pretend to kill him but stab her own hand instead. It then occurs to him that Nami was actually trying to save him from being killed by Arlong, and he comes to the conclusion that she is not a witch. Following this realization, Usopp decides to look for Zoro. He remembers that the octopus guy told him that Zoro was looking for Arlong earlier. Terrified, he assumes that Zoro could have returned to Arlong Park to search for him. He decides to run straight for Arlong Park in order to save his crewmate. However, he spots Zoro in the distance as he is running.

At the same time, Sanji asks Zoro if he thinks that Nami killed Usopp. Zoro tells him that it is a possibility, as she got pissed after Usopp called her ""small"" last time. Sanji gets angry, thinking that Zoro was referring to Nami's breast size. Sanji and Zoro then clash, but Usopp gets into the crossfire and gets his face injured.

Meanwhile, Nojiko is out in the tangerine fields and hears the house door slamming shut. She goes inside and notices Nami with her head on the desk. Nojiko comments on the mess of thrown furniture and broken glass on the floor, which Nami has made, and asks her if anything is wrong. Nami says that she was only taking a little rest at first before opening up to her sister. Nojiko then understands that her friends have come to take her back, and she understands why she is upset, as nothing upsets Nami more than having to say the word ""friend.""

Back with the Straw Hats, Luffy is shocked by Usopp's face. He asks him if Nami was responsible for it; Sanji and Zoro take responsibility for it. Usopp tells Luffy that Nami had saved him, and he feels that Nami had joined the Arlong Pirates for another reason. Nojiko then appears and tells them that it's useless and that there is no way that they could change Arlong's rule. She then agrees to tell the crew about Nami's past, but they must leave after she is done.

Back at the village, 16th Marine Branch captain, Nezumi appears with his team and asks Genzo to lead them to Nami's house.",
